 PLZ;door_number;street_name;Fix_max_speed;Cube_max_speed
1020;36;Abbey Close;50;230
1020;37;Abbey Close;50;100
1020;38;Abbey Close;900;20
1020;1;Abbey Court;150;210
1020;2;Abbey Court;300;140
1020;3;Abbey Court;50;190
1020;4;Abbey Court;50;10
1020;5;Abbey Court;700;210
1020;6;Abbey Court;300;190
1020;7;Abbey Court;450;10
1020;8;Abbey Court;500;190
1020;9;Abbey Court;350;180
1020;10;Abbey Court;550;300
1020;11;Abbey Court;50;350
1020;12;Abbey Court;550;190
1020;13;Abbey Court;50;110
1020;14;Abbey Court;50;10
1020;15;Abbey Court;150;90
1020;16;Abbey Court;50;220
1020;17;Abbey Court;750;130
1020;18;Abbey Court;200;230
1020;19;Abbey Court;250;160
1020;20;Abbey Court;1300;80
1020;21;Abbey Court;50;110
1020;22;Abbey Court;450;90
1020;23;Abbey Court;50;310
1020;24;Abbey Court;500;180
1020;25;Abbey Court;350;390
1020;26;Abbey Court;50;80
1020;27;Abbey Court;200;120
1020;28;Abbey Court;50;140
1020;29;Abbey Court;100;170
1020;30;Abbey Court;50;180
1020;31;Abbey Court;200;300
1020;32;Abbey Court;850;200
1020;33;Abbey Court;50;150
1020;34;Abbey Court;50;200
1020;35;Abbey Court;50;160
1020;36;Abbey Court;350;220
1020;37;Abbey Court;50;350
1020;38;Abbey Court;200;200
1020;39;Abbey Court;50;10
1020;40;Abbey Court;450;200
1020;41;Abbey Court;50;170
1020;42;Abbey Court;100;220
1020;43;Abbey Court;150;140
1020;44;Abbey Court;700;200
1020;45;Abbey Court;50;180
1020;46;Abbey Court;50;70
1020;47;Abbey Court;700;80
1020;48;Abbey Court;350;240
1020;49;Abbey Court;50;280
1020;50;Abbey Court;50;290
1020;51;Abbey Court;50;180
1020;52;Abbey Court;350;260
1020;53;Abbey Court;50;130
1020;54;Abbey Court;50;80
1020;55;Abbey Court;200;140
1020;56;Abbey Court;50;150
1020;57;Abbey Court;800;270
1020;58;Abbey Court;150;200
1020;59;Abbey Court;250;120
1087;1;Abbey Crescent;50;250
1087;2;Abbey Crescent;250;100
1087;3;Abbey Crescent;400;330
1087;4;Abbey Crescent;350;220
1087;5;Abbey Crescent;350;200
1087;6;Abbey Crescent;800;100
1087;7;Abbey Crescent;200;80
1087;8;Abbey Crescent;600;170
1087;9;Abbey Crescent;50;180
1087;10;Abbey Crescent;50;50
1087;11;Abbey Crescent;50;170
1087;12;Abbey Crescent;50;200
1087;13;Abbey Crescent;250;180
1087;14;Abbey Crescent;400;220
1087;15;Abbey Crescent;50;120
1087;16;Abbey Crescent;100;160
1087;17;Abbey Crescent;300;120
1087;18;Abbey Crescent;300;170
1087;19;Abbey Crescent;350;210
1087;20;Abbey Crescent;650;270
1087;21;Abbey Crescent;100;160
1087;22;Abbey Crescent;350;140
1087;23;Abbey Crescent;350;270
1087;24;Abbey Crescent;350;250
1087;25;Abbey Crescent;400;280
1087;26;Abbey Crescent;50;10
1087;27;Abbey Crescent;850;370
1087;28;Abbey Crescent;50;280
1087;29;Abbey Crescent;50;200
1087;30;Abbey Crescent;550;300
1087;31;Abbey Crescent;250;220
1087;32;Abbey Crescent;350;170
1087;33;Abbey Crescent;50;120
1087;34;Abbey Crescent;50;250
1087;35;Abbey Crescent;500;370
1087;36;Abbey Crescent;50;230
1087;37;Abbey Crescent;450;170
1087;38;Abbey Crescent;150;270
1087;39;Abbey Crescent;250;180
1087;40;Abbey Crescent;450;280
1087;41;Abbey Crescent;50;10
1087;42;Abbey Crescent;300;290
1087;43;Abbey Crescent;50;190
1087;44;Abbey Crescent;50;280
1087;45;Abbey Crescent;50;90
1087;46;Abbey Crescent;500;170
1087;47;Abbey Crescent;300;200
1087;48;Abbey Crescent;600;140
1087;49;Abbey Crescent;400;40
1087;50;Abbey Crescent;200;210
1087;1;Abbey Drive;400;270
1087;2;Abbey Drive;200;150
1087;3;Abbey Drive;600;100
1087;4;Abbey Drive;400;260
1087;5;Abbey Drive;800;180
1087;6;Abbey Drive;150;220
1087;7;Abbey Drive;50;280
1087;8;Abbey Drive;100;140
1087;9;Abbey Drive;150;200
1087;10;Abbey Drive;100;290
1087;11;Abbey Drive;200;150
1087;12;Abbey Drive;450;140
1087;13;Abbey Drive;500;120
1087;14;Abbey Drive;550;430
1087;15;Abbey Drive;100;200
1087;16;Abbey Drive;450;160
1087;17;Abbey Drive;50;340
1087;18;Abbey Drive;300;190
1087;19;Abbey Drive;450;260
1087;20;Abbey Drive;50;300
1087;21;Abbey Drive;400;210
1087;22;Abbey Drive;750;380
1087;23;Abbey Drive;50;100
1087;24;Abbey Drive;200;280
1087;25;Abbey Drive;250;370
1087;26;Abbey Drive;150;90
1087;27;Abbey Drive;750;330
1087;28;Abbey Drive;50;230
1087;29;Abbey Drive;50;70
1087;30;Abbey Drive;650;250
1087;31;Abbey Drive;600;150
1087;32;Abbey Drive;800;190
1087;33;Abbey Drive;300;230
1087;34;Abbey Drive;50;270
1087;35;Abbey Drive;50;290
1087;36;Abbey Drive;150;40
1087;37;Abbey Drive;300;370
1087;38;Abbey Drive;150;130
1087;39;Abbey Drive;250;290
1087;40;Abbey Drive;750;200
1087;1;Abbey Grove;100;210
1087;2;Abbey Grove;500;220
1087;3;Abbey Grove;100;140
1087;4;Abbey Grove;300;200
1087;5;Abbey Grove;550;410
1087;6;Abbey Grove;50;180
1087;7;Abbey Grove;150;140
1087;8;Abbey Grove;50;180
1087;9;Abbey Grove;250;440
1087;10;Abbey Grove;550;290
1087;11;Abbey Grove;400;200
1087;12;Abbey Grove;400;50
1087;13;Abbey Grove;200;170
1087;14;Abbey Grove;50;210
1087;15;Abbey Grove;50;160
1087;16;Abbey Grove;50;120
1087;17;Abbey Grove;550;140
1087;18;Abbey Grove;700;90
1087;19;Abbey Grove;750;80
1087;20;Abbey Grove;50;120
1087;21;Abbey Grove;350;270
1087;22;Abbey Grove;50;100
1087;23;Abbey Grove;400;150
1087;24;Abbey Grove;50;170
1087;25;Abbey Grove;950;190
1087;26;Abbey Grove;50;60
1087;27;Abbey Grove;250;190
1087;28;Abbey Grove;200;270
1087;29;Abbey Grove;550;170
1087;30;Abbey Grove;250;10
1087;31;Abbey Grove;150;190
1087;32;Abbey Grove;350;220
1087;33;Abbey Grove;1050;10
1087;34;Abbey Grove;50;50
1087;35;Abbey Grove;50;230
1087;36;Abbey Grove;50;340
1087;37;Abbey Grove;250;130
1087;38;Abbey Grove;650;10
1087;39;Abbey Grove;200;160
1087;40;Abbey Grove;50;330
1087;41;Abbey Grove;300;370
1087;42;Abbey Grove;750;100
1087;43;Abbey Grove;350;320
1087;44;Abbey Grove;300;90
1087;45;Abbey Grove;300;270
1087;46;Abbey Grove;450;130
1087;47;Abbey Grove;200;80
1087;48;Abbey Grove;700;240
1087;49;Abbey Grove;50;230
1087;50;Abbey Grove;100;360
1087;51;Abbey Grove;200;300
1087;52;Abbey Grove;850;240
1087;53;Abbey Grove;150;30
1160;1;Abbey Hill;700;370
1160;2;Abbey Hill;350;250
1160;3;Abbey Hill;300;250
1160;4;Abbey Hill;200;330
1160;5;Abbey Hill;450;130
1160;6;Abbey Hill;200;60
1160;7;Abbey Hill;50;180
1160;8;Abbey Hill;200;210
1160;9;Abbey Hill;250;220
1160;10;Abbey Hill;50;240
1160;11;Abbey Hill;700;240
1160;12;Abbey Hill;300;160
1160;13;Abbey Hill;50;120
1160;14;Abbey Hill;450;70
1160;15;Abbey Hill;50;420
1160;16;Abbey Hill;350;110
1160;17;Abbey Hill;150;320
1160;18;Abbey Hill;50;140
1160;19;Abbey Hill;50;300
1160;20;Abbey Hill;50;140
1160;21;Abbey Hill;100;150
1160;22;Abbey Hill;50;350
1160;23;Abbey Hill;50;90
1160;24;Abbey Hill;200;300
1160;25;Abbey Hill;700;240
1160;26;Abbey Hill;950;410
1160;27;Abbey Hill;300;210
1160;28;Abbey Hill;300;360
1160;29;Abbey Hill;50;210
1160;30;Abbey Hill;200;270
1160;31;Abbey Hill;50;180
1160;32;Abbey Hill;650;180
1160;33;Abbey Hill;50;230
1160;34;Abbey Hill;50;70
1160;35;Abbey Hill;50;50
1160;36;Abbey Hill;500;80
1160;37;Abbey Hill;250;90
1160;38;Abbey Hill;50;260
1160;39;Abbey Hill;50;380
1160;40;Abbey Hill;50;220
1160;41;Abbey Hill;50;80
1160;1;Abbey Lane;550;340
1160;2;Abbey Lane;650;180
1160;3;Abbey Lane;50;80
1160;4;Abbey Lane;350;250
1160;5;Abbey Lane;250;10
1160;6;Abbey Lane;50;180
1160;7;Abbey Lane;50;260
1160;8;Abbey Lane;50;200
1160;9;Abbey Lane;700;280
1160;10;Abbey Lane;200;270
1160;11;Abbey Lane;50;90
1160;12;Abbey Lane;50;270
1160;13;Abbey Lane;200;230
1160;14;Abbey Lane;350;60
1160;15;Abbey Lane;600;120
1160;16;Abbey Lane;50;230
1160;17;Abbey Lane;300;170
1160;18;Abbey Lane;200;70
1160;19;Abbey Lane;400;230
1160;20;Abbey Lane;250;240
1160;21;Abbey Lane;300;270
1160;22;Abbey Lane;400;60
1160;23;Abbey Lane;500;230
1160;24;Abbey Lane;600;190
1160;25;Abbey Lane;50;120
1160;26;Abbey Lane;100;190
1160;27;Abbey Lane;300;10
1160;28;Abbey Lane;200;60
1160;29;Abbey Lane;50;310
1160;30;Abbey Lane;1150;120
1160;31;Abbey Lane;50;70
1160;32;Abbey Lane;50;250
1160;33;Abbey Lane;50;240
1160;34;Abbey Lane;600;230
1160;35;Abbey Lane;50;200
1160;36;Abbey Lane;100;150
1160;37;Abbey Lane;450;340
1160;38;Abbey Lane;200;190
1160;39;Abbey Lane;1000;80
1160;40;Abbey Lane;400;280
1160;41;Abbey Lane;300;150
1160;42;Abbey Lane;600;220
1160;43;Abbey Lane;300;340
1160;44;Abbey Lane;350;270
1160;45;Abbey Lane;500;80
1160;46;Abbey Lane;600;160
1160;47;Abbey Lane;400;290
1160;48;Abbey Lane;100;370
1160;1;Abbey Mews;200;190
1160;2;Abbey Mews;50;150
1160;3;Abbey Mews;650;140
1160;4;Abbey Mews;50;180
1160;5;Abbey Mews;50;140
1160;6;Abbey Mews;450;300
1160;7;Abbey Mews;250;150
1160;8;Abbey Mews;500;120
1160;9;Abbey Mews;250;270
1160;10;Abbey Mews;1050;260
1160;11;Abbey Mews;500;270
1160;12;Abbey Mews;450;10
1160;13;Abbey Mews;150;260
1160;14;Abbey Mews;600;250
1160;15;Abbey Mews;150;180
1160;16;Abbey Mews;100;300
1160;17;Abbey Mews;450;180
1160;18;Abbey Mews;300;220
1160;19;Abbey Mews;400;150
1160;20;Abbey Mews;150;190
1160;21;Abbey Mews;50;90
1160;22;Abbey Mews;50;140
1160;23;Abbey Mews;50;190
1160;24;Abbey Mews;300;340
1160;25;Abbey Mews;250;180
1160;26;Abbey Mews;400;400
1160;27;Abbey Mews;150;310
1160;28;Abbey Mews;450;190
1160;29;Abbey Mews;50;160
1160;30;Abbey Mews;200;260
1160;31;Abbey Mews;50;290
1160;32;Abbey Mews;50;190
1160;33;Abbey Mews;50;280
1160;34;Abbey Mews;500;230
1160;35;Abbey Mews;200;400
1160;36;Abbey Mews;400;240
1160;37;Abbey Mews;550;160
1160;38;Abbey Mews;50;290
1160;39;Abbey Mews;500;360
1160;40;Abbey Mews;150;130
1160;41;Abbey Mews;200;270
1160;42;Abbey Mews;50;170
1160;43;Abbey Mews;650;140
1160;44;Abbey Mews;500;170
1160;45;Abbey Mews;750;280
1160;46;Abbey Mews;400;330
1160;47;Abbey Mews;600;240
1160;48;Abbey Mews;400;340
1160;49;Abbey Mews;50;140
1160;50;Abbey Mews;50;30
1160;51;Abbey Mews;50;130
1160;52;Abbey Mews;100;10
1160;53;Abbey Mews;50;260
1160;54;Abbey Mews;450;80
1160;1;Abbey Park;700;140
1160;2;Abbey Park;250;250
1160;3;Abbey Park;700;250
1160;4;Abbey Park;300;180
1160;5;Abbey Park;350;120
1160;6;Abbey Park;500;190
1160;7;Abbey Park;500;190
1160;8;Abbey Park;200;180
1160;9;Abbey Park;250;380
1160;10;Abbey Park;650;110
1160;11;Abbey Park;550;200
1160;12;Abbey Park;50;30
1160;13;Abbey Park;50;310
1160;14;Abbey Park;50;240
1160;15;Abbey Park;800;130
1160;16;Abbey Park;250;370
1160;17;Abbey Park;50;150
1160;18;Abbey Park;250;10
1160;19;Abbey Park;350;270
1160;20;Abbey Park;150;220
1160;21;Abbey Park;50;150
1160;22;Abbey Park;200;190
1160;23;Abbey Park;350;210
1160;24;Abbey Park;50;230
1160;25;Abbey Park;50;180
1160;26;Abbey Park;150;180
1160;27;Abbey Park;500;320
1160;28;Abbey Park;550;100
1160;29;Abbey Park;300;210
1160;30;Abbey Park;250;90
1160;31;Abbey Park;550;250
1160;32;Abbey Park;50;70
1160;33;Abbey Park;650;80
1160;34;Abbey Park;600;180
1160;35;Abbey Park;350;160
1160;36;Abbey Park;500;250
1160;37;Abbey Park;100;260
1160;38;Abbey Park;300;360
1160;39;Abbey Park;50;150
1160;40;Abbey Park;300;230
1160;41;Abbey Park;350;370
1160;42;Abbey Park;50;180
1160;43;Abbey Park;700;210
1160;44;Abbey Park;100;140
1160;1;Abbey Rise;350;40
1160;2;Abbey Rise;200;170
1160;3;Abbey Rise;50;190
1160;4;Abbey Rise;50;130
1160;5;Abbey Rise;550;240
1160;6;Abbey Rise;700;80
1160;7;Abbey Rise;750;150
1160;8;Abbey Rise;1000;300
1160;9;Abbey Rise;50;230
1160;10;Abbey Rise;250;230
1160;11;Abbey Rise;800;370
1160;12;Abbey Rise;100;360
1160;13;Abbey Rise;400;80
1160;14;Abbey Rise;50;200
1160;15;Abbey Rise;250;180
1160;16;Abbey Rise;500;270
1160;17;Abbey Rise;950;260
1160;18;Abbey Rise;450;150
1160;19;Abbey Rise;50;380
1160;20;Abbey Rise;500;240
1160;21;Abbey Rise;50;390
1160;22;Abbey Rise;200;40
1160;23;Abbey Rise;200;290
1160;24;Abbey Rise;50;270
1160;25;Abbey Rise;50;190
1160;26;Abbey Rise;50;160
1160;27;Abbey Rise;200;360
1160;28;Abbey Rise;750;160
1160;29;Abbey Rise;50;120
1160;30;Abbey Rise;800;280
1160;31;Abbey Rise;250;70
1160;32;Abbey Rise;350;320
1160;33;Abbey Rise;600;120
1160;34;Abbey Rise;250;200
1160;35;Abbey Rise;400;470
1160;36;Abbey Rise;50;160
1160;37;Abbey Rise;150;260
1160;38;Abbey Rise;50;230
1160;39;Abbey Rise;50;160
1160;40;Abbey Rise;50;270
1160;41;Abbey Rise;450;370
1160;42;Abbey Rise;50;210
1160;43;Abbey Rise;450;290
1160;44;Abbey Rise;250;10
1160;45;Abbey Rise;50;80
1160;46;Abbey Rise;900;290
1160;47;Abbey Rise;50;280
1160;48;Abbey Rise;50;210
1160;49;Abbey Rise;850;110
1160;50;Abbey Rise;400;400
1160;51;Abbey Rise;650;270
1160;52;Abbey Rise;550;200
1160;53;Abbey Rise;50;220
1160;54;Abbey Rise;700;110
1160;55;Abbey Rise;550;150
1160;56;Abbey Rise;450;110
1160;57;Abbey Rise;400;360
1160;1;Abbey Square;250;60
1160;2;Abbey Square;50;150
1160;3;Abbey Square;100;130
1160;4;Abbey Square;200;170
1160;5;Abbey Square;50;140
1160;6;Abbey Square;300;210
1160;7;Abbey Square;500;110
1160;8;Abbey Square;50;140
1160;9;Abbey Square;50;150
1160;10;Abbey Square;150;160
1160;11;Abbey Square;200;110
1160;12;Abbey Square;750;330
1160;13;Abbey Square;50;310
1160;14;Abbey Square;50;260
1160;15;Abbey Square;250;150
1160;16;Abbey Square;350;280
1160;17;Abbey Square;500;10
1160;18;Abbey Square;50;190
1160;19;Abbey Square;50;230
1160;20;Abbey Square;400;180
1160;21;Abbey Square;850;160
1160;22;Abbey Square;350;170
1160;23;Abbey Square;1150;150
1160;24;Abbey Square;50;220
1160;25;Abbey Square;400;320
1160;26;Abbey Square;50;260
1160;27;Abbey Square;950;160
1160;28;Abbey Square;700;80
1160;29;Abbey Square;750;250
1160;30;Abbey Square;150;70
1160;31;Abbey Square;50;280
1160;32;Abbey Square;200;160
1160;33;Abbey Square;100;100
1160;34;Abbey Square;200;50
1160;35;Abbey Square;100;230
1160;36;Abbey Square;50;170
1160;37;Abbey Square;1000;200
1160;38;Abbey Square;50;410
1160;39;Abbey Square;50;200
1160;40;Abbey Square;600;30
1160;41;Abbey Square;50;100
1160;42;Abbey Square;400;110
1160;43;Abbey Square;200;220
1160;44;Abbey Square;950;310
1160;45;Abbey Square;50;120
1177;1;Abbey Terrace;400;260
1177;2;Abbey Terrace;950;360
1177;3;Abbey Terrace;500;280
1177;4;Abbey Terrace;50;190
1177;5;Abbey Terrace;50;220
1177;6;Abbey Terrace;550;170
1177;7;Abbey Terrace;50;190
1177;8;Abbey Terrace;750;270
1177;9;Abbey Terrace;50;380
1177;10;Abbey Terrace;350;200
1177;11;Abbey Terrace;750;370
1177;12;Abbey Terrace;50;300
1177;13;Abbey Terrace;400;140
1177;14;Abbey Terrace;750;130
1177;15;Abbey Terrace;500;200
1177;16;Abbey Terrace;150;300
1177;17;Abbey Terrace;300;240
1177;18;Abbey Terrace;200;130
1177;19;Abbey Terrace;50;90
1177;20;Abbey Terrace;450;280
1177;21;Abbey Terrace;750;260
1177;22;Abbey Terrace;700;230
1177;23;Abbey Terrace;800;20
1177;24;Abbey Terrace;50;370
1177;25;Abbey Terrace;100;100
1177;26;Abbey Terrace;350;150
1177;27;Abbey Terrace;300;300
1177;28;Abbey Terrace;300;20
1177;29;Abbey Terrace;200;280
1177;30;Abbey Terrace;900;120
1177;31;Abbey Terrace;300;150
1177;32;Abbey Terrace;50;170
1177;33;Abbey Terrace;50;150
1177;34;Abbey Terrace;700;10
1177;35;Abbey Terrace;700;150
1177;36;Abbey Terrace;250;140
1177;37;Abbey Terrace;150;310
1177;38;Abbey Terrace;50;390
1177;39;Abbey Terrace;150;160
1177;40;Abbey Terrace;150;320
1274;1;Abbey View;550;110
1274;2;Abbey View;200;230
1274;3;Abbey View;50;300
1274;4;Abbey View;600;150
1274;5;Abbey View;50;340
1274;6;Abbey View;100;230
1274;7;Abbey View;50;120
1274;8;Abbey View;300;180
1274;9;Abbey View;50;220
1274;10;Abbey View;150;190
1274;11;Abbey View;200;270
1274;12;Abbey View;200;390
1274;13;Abbey View;650;330
1274;14;Abbey View;350;160
1274;15;Abbey View;700;70
1274;16;Abbey View;50;280
1274;17;Abbey View;50;250
1274;18;Abbey View;50;230
1274;19;Abbey View;50;240
1274;20;Abbey View;50;290
1274;21;Abbey View;50;450
1274;22;Abbey View;350;10
1274;23;Abbey View;400;280
1274;24;Abbey View;50;190
1274;25;Abbey View;450;270
1274;26;Abbey View;50;240
1274;27;Abbey View;50;350
1274;28;Abbey View;800;220
1274;29;Abbey View;300;420
1274;30;Abbey View;800;140
1274;31;Abbey View;1000;40
1274;32;Abbey View;600;100
1274;33;Abbey View;50;90
1274;34;Abbey View;50;180
1274;35;Abbey View;850;110
1274;36;Abbey View;50;150
1274;37;Abbey View;100;200
1274;38;Abbey View;350;210
1274;39;Abbey View;400;220
1274;40;Abbey View;50;130
1274;41;Abbey View;50;290
1274;42;Abbey View;700;230
1274;43;Abbey View;50;250
1274;1;Albert Avenue;50;400
1274;2;Albert Avenue;500;210
1274;3;Albert Avenue;500;20
1274;4;Albert Avenue;700;250
1274;5;Albert Avenue;400;60
1274;6;Albert Avenue;300;320
1274;7;Albert Avenue;700;410
1274;8;Albert Avenue;50;290
1274;9;Albert Avenue;50;20
1274;10;Albert Avenue;250;220
1274;11;Albert Avenue;550;130
1274;12;Albert Avenue;50;80
1274;13;Albert Avenue;50;200
1274;14;Albert Avenue;450;10
1274;15;Albert Avenue;400;170
1274;16;Albert Avenue;100;110
1274;17;Albert Avenue;50;60
1274;18;Albert Avenue;50;450
1274;19;Albert Avenue;200;280
1274;20;Albert Avenue;150;140
1274;21;Albert Avenue;50;180
1274;22;Albert Avenue;450;240
1274;23;Albert Avenue;850;60
1274;24;Albert Avenue;50;110
1274;25;Albert Avenue;250;250
1274;26;Albert Avenue;850;230
1274;27;Albert Avenue;500;160
1274;28;Albert Avenue;350;300
1274;29;Albert Avenue;950;160
1274;30;Albert Avenue;400;220
1274;31;Albert Avenue;1150;60
1274;32;Albert Avenue;100;300
1274;33;Albert Avenue;150;350
1274;34;Albert Avenue;450;250
1274;35;Albert Avenue;100;30
1274;36;Albert Avenue;50;100
1274;37;Albert Avenue;450;180
1274;38;Albert Avenue;50;110
1274;39;Albert Avenue;500;200
1274;40;Albert Avenue;450;20
1274;41;Albert Avenue;850;300
1274;42;Albert Avenue;450;230
1274;43;Albert Avenue;50;320
1274;44;Albert Avenue;550;90
1274;45;Albert Avenue;150;220
1274;46;Albert Avenue;500;260
1274;47;Albert Avenue;300;20
1274;48;Albert Avenue;50;160
1274;49;Albert Avenue;250;120
1274;50;Albert Avenue;50;240
1274;51;Albert Avenue;50;30
1274;52;Albert Avenue;50;430
1274;53;Albert Avenue;50;320
1274;1;Albert Close;750;270
1274;2;Albert Close;50;270
1274;3;Albert Close;50;180
1274;4;Albert Close;900;340
1274;5;Albert Close;50;250
1274;6;Albert Close;50;70
1274;7;Albert Close;450;180
1274;8;Albert Close;500;110
1274;9;Albert Close;50;200
1274;10;Albert Close;200;220
1274;11;Albert Close;50;120
1274;12;Albert Close;300;180
1274;13;Albert Close;550;110
1274;14;Albert Close;150;350
1274;15;Albert Close;350;250
1274;16;Albert Close;50;330
1274;17;Albert Close;50;310
1274;18;Albert Close;650;70
1274;19;Albert Close;900;240
1274;20;Albert Close;200;170
1274;21;Albert Close;300;140
1274;22;Albert Close;850;210
1274;23;Albert Close;50;290
1274;24;Albert Close;550;200
1274;25;Albert Close;50;330
1274;26;Albert Close;50;130
1274;27;Albert Close;700;120
1274;28;Albert Close;150;160
1274;29;Albert Close;350;160
1274;30;Albert Close;550;190
1274;31;Albert Close;450;190
1274;32;Albert Close;400;130
1274;33;Albert Close;450;150
1274;34;Albert Close;50;180
1274;35;Albert Close;50;180
1274;36;Albert Close;50;220
1274;37;Albert Close;50;230
1274;38;Albert Close;700;160
1274;39;Albert Close;50;350
1274;40;Albert Close;500;180
1274;41;Albert Close;300;300
1274;42;Albert Close;150;280
1274;1;Albert Court;50;250
1274;2;Albert Court;1100;160
1274;3;Albert Court;50;250
1274;4;Albert Court;900;190
1274;5;Albert Court;50;320
1274;6;Albert Court;50;160
1274;7;Albert Court;50;90
1274;8;Albert Court;100;10
1274;9;Albert Court;100;160
1274;10;Albert Court;400;210
1274;11;Albert Court;250;110
1274;12;Albert Court;750;320
1274;13;Albert Court;150;270
1274;14;Albert Court;50;360
1274;15;Albert Court;350;260
1274;16;Albert Court;100;290
1274;17;Albert Court;100;10
1274;18;Albert Court;350;160
1274;19;Albert Court;300;140
1274;20;Albert Court;50;90
1274;21;Albert Court;650;240
1274;22;Albert Court;250;270
1274;23;Albert Court;100;150
1274;24;Albert Court;700;260
1274;25;Albert Court;50;310
1274;26;Albert Court;50;130
1274;27;Albert Court;50;320
1274;28;Albert Court;50;290
1274;29;Albert Court;300;120
1274;30;Albert Court;350;140
1274;31;Albert Court;300;90
1274;32;Albert Court;550;270
1274;33;Albert Court;50;190
1274;34;Albert Court;150;150
1274;35;Albert Court;450;110
1274;36;Albert Court;50;120
1274;37;Albert Court;150;140
1274;38;Albert Court;500;170
1274;39;Albert Court;50;230
1274;40;Albert Court;600;290
1274;41;Albert Court;50;190
1274;42;Albert Court;150;440
1274;43;Albert Court;450;140
1274;44;Albert Court;200;130
1274;45;Albert Court;1050;90
1274;46;Albert Court;250;130
1274;47;Albert Court;550;160
1274;48;Albert Court;100;260
1274;49;Albert Court;50;40
1274;50;Albert Court;50;300
1274;51;Albert Court;50;210
1287;1;Albert Crescent;50;210
1287;2;Albert Crescent;250;220
1287;3;Albert Crescent;550;410
1287;4;Albert Crescent;600;10
1287;5;Albert Crescent;50;210
1287;6;Albert Crescent;300;380
1287;7;Albert Crescent;250;170
1287;8;Albert Crescent;50;130
1287;9;Albert Crescent;50;190
1287;10;Albert Crescent;350;240
1287;11;Albert Crescent;50;310
1287;12;Albert Crescent;650;80
1287;13;Albert Crescent;200;130
1287;14;Albert Crescent;200;40
1287;15;Albert Crescent;50;280
1287;16;Albert Crescent;200;140
1287;17;Albert Crescent;450;220
1287;18;Albert Crescent;50;320
1287;19;Albert Crescent;550;310
1287;20;Albert Crescent;200;280
1287;21;Albert Crescent;50;140
1287;22;Albert Crescent;350;80
1287;23;Albert Crescent;50;280
1287;24;Albert Crescent;50;160
